"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Jon Gorrotxategi","https://www.transfermarkt.com/jon-gorrotxategi/profil/spieler/711374","Defensive Midfield","22","Spain","Real Sociedad B","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Robert Navarro","https://www.transfermarkt.com/robert-navarro/profil/spieler/563137","Right Winger","22","Spain","Cádiz CF","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Álex Sola","https://www.transfermarkt.com/alex-sola/profil/spieler/434990","Right Winger","25","Spain","Alavés","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Roberto López","https://www.transfermarkt.com/roberto-lopez/profil/spieler/569866","Attacking Midfield","24","Spain","CD Tenerife","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Jon Karrikaburu","https://www.transfermarkt.com/jon-karrikaburu/profil/spieler/711382","Centre-Forward","21","Spain","FC Andorra","LaLiga2","Andorra",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Diego Rico","https://www.transfermarkt.com/diego-rico/profil/spieler/249513","Left-Back","31","Spain","Getafe","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Chadi Riad","https://www.transfermarkt.com/chadi-riad/profil/spieler/689637","Centre-Back","21","Morocco","Barcelona","LaLiga","Spain",9e+06,FALSE,NA,"Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Giovani Lo Celso","https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795","Attacking Midfield","28","Argentina","Tottenham","Premier League","England",5e+06,FALSE,NA,"Summer",34,34,9,2000
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Marc Roca","https://www.transfermarkt.com/marc-roca/profil/spieler/336869","Defensive Midfield","27","Spain","Leeds","Championship","England",4500000,FALSE,NA,"Summer",20,17,2,1041
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Romain Perraud","https://www.transfermarkt.com/romain-perraud/profil/spieler/318523","Left-Back","26","France","Southampton","Premier League","England",3500000,FALSE,NA,"Summer",57,41,2,2904
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Diego Llorente","https://www.transfermarkt.com/diego-llorente/profil/spieler/246291","Centre-Back","30","Spain","Leeds","Championship","England",3250000,FALSE,NA,"Summer",48,42,2,3344
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Iker Losada","https://www.transfermarkt.com/iker-losada/profil/spieler/632741","Second Striker","22","Spain","Racing Ferrol","LaLiga2","Spain",1800000,FALSE,NA,"Summer",27,15,0,612
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Natan","https://www.transfermarkt.com/natan/profil/spieler/735568","Centre-Back","23","Brazil","Napoli","Serie A","Italy",1e+06,TRUE,NA,"Summer",57,52,2,4005
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Ricardo Rodríguez","https://www.transfermarkt.com/ricardo-rodriguez/profil/spieler/86784","Left-Back","31","Switzerland","Torino","Serie A","Italy",0,FALSE,NA,"Summer",56,33,0,2427
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Adrián","https://www.transfermarkt.com/adrian/profil/spieler/71271","Goalkeeper","37","Spain","Liverpool","Premier League","England",0,FALSE,NA,"Summer",59,26,0,2340
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Vitor Roque","https://www.transfermarkt.com/vitor-roque/profil/spieler/943837","Centre-Forward","19","Brazil","Barcelona","LaLiga","Spain",NA,TRUE,"loan transfer","Summer",34,33,7,1733
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Fran Vieites","https://www.transfermarkt.com/fran-vieites/profil/spieler/551182","Goalkeeper","25","Spain","Betis Deportivo","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Summer",49,16,0,1470
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Ricardo Visus","https://www.transfermarkt.com/ricardo-visus/profil/spieler/630989","Centre-Back","23","Spain","Betis Deportivo","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Juanmi","https://www.transfermarkt.com/juanmi/profil/spieler/126737","Left Winger","31","Spain","Cádiz CF","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",31,19,2,570
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Borja Iglesias","https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359","Centre-Forward","31","Spain","Leverkusen","Bundesliga","Germany",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Rober González","https://www.transfermarkt.com/rober-gonzalez/profil/spieler/505675","Right Winger","23","Spain","NEC Nijmegen","Eredivisie","Netherlands",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Álex Collado","https://www.transfermarkt.com/alex-collado/profil/spieler/282722","Attacking Midfield","25","Spain","Al-Okhdood","Saudi Pro League","Saudi Arabia",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Juan Cruz","https://www.transfermarkt.com/juan-cruz/profil/spieler/585700","Left Winger","24","Spain","CD Leganés","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Cucho Hernández","https://www.transfermarkt.com/cucho-hernandez/profil/spieler/459463","Centre-Forward","25","Colombia","Columbus","MLS","United States",1.3e+07,FALSE,NA,"Winter",16,15,5,1150
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Antony","https://www.transfermarkt.com/antony/profil/spieler/602105","Right Winger","24","Brazil","Man Utd","Premier League","England",NA,TRUE,"loan transfer","Winter",26,26,9,2133
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Jesús Rodríguez","https://www.transfermarkt.com/jesus-rodriguez/profil/spieler/1190411","Left Winger","19","Spain","Betis Deportivo","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Winter",41,32,3,1739
"Real Betis Balompié","LaLiga","Spain","2024","Arrivals","Ángel Ortiz","https://www.transfermarkt.com/angel-ortiz/profil/spieler/933908","Right-Back","20","Spain","Betis Deportivo","Primera Federación - Gr. II","Spain",NA,FALSE,"-","Winter",10,6,0,354
"Villarreal CF","LaLiga","Spain","2024","Arrivals","Thierno Barry","https://www.transfermarkt.com/thierno-barry/profil/spieler/937941","Centre-Forward","21","France","Basel","Super League","Switzerland",2e+07,FALSE,NA,"Summer",37,37,11,2441
"Villarreal CF","LaLiga","Spain","2024","Arrivals","Logan Costa","https://www.transfermarkt.com/logan-costa/profil/spieler/484988","Centre-Back","23","Cape Verde","Toulouse","Ligue 1","France",1.8e+07,FALSE,NA,"Summer",37,34,2,2721
